epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,0.9854593606199304,0.6268468240939512,0.8182493070682206,0.7360557768924303,0.7335266199614402,9.997532801828658e-05
2,0.38406172519697207,0.8797828008586943,0.262014300046689,0.9282868525896414,0.926861683553353,9.990133642141359e-05
3,0.18658853350963417,0.9445637075388307,0.216847999162408,0.9551792828685259,0.9546055777868719,9.977809823015401e-05
4,0.11258252663720149,0.9691880287915141,0.19009906982639396,0.9621513944223108,0.9597088573327228,9.960573506572391e-05
5,0.07199862307427522,0.979795428715747,0.15186150333439685,0.9711155378486056,0.9694148492039222,9.93844170297569e-05
6,0.05873056736033001,0.9848465715368102,0.21070497649985243,0.9571713147410359,0.9559342700029552,9.911436253643445e-05
7,0.04426369847418617,0.9881298143705013,0.15879672629187305,0.9571713147410359,0.9558465073455606,9.879583809693738e-05
8,0.03318985947199031,0.9911605000631393,0.1441127968937218,0.9661354581673307,0.9640714735111751,9.842915805643157e-05
9,0.023419634929821336,0.9949488571789368,0.23368939467932123,0.9452191235059761,0.9430582259251347,9.801468428384717e-05
10,0.03179765178481276,0.9919181714862988,0.17695714407730329,0.954183266932271,0.9534262974061779,9.75528258147577e-05
11,0.01556820536065484,0.9967167571663089,0.2271229752962778,0.9551792828685259,0.954169766708208,9.70440384477113e-05
12,0.01740683302140278,0.9952014143199899,0.2530387224132321,0.953187250996016,0.9511738799361407,9.64888242944126e-05
13,0.017705919269497293,0.996085364313676,0.13619336925087075,0.9711155378486056,0.9693762196311135,9.588773128419907e-05
14,0.023583754891002097,0.9929284000505114,0.12915022820382716,0.9790836653386454,0.9798145979450374,9.5241352623301e-05
15,0.013843901338501927,0.9964642000252557,0.12594512947723716,0.9770916334661355,0.9769505074584863,9.455032620941843e-05
16,0.013721765219047525,0.9958328071726228,0.17433729114389396,0.9770916334661355,0.9769467372680853,9.381533400219321e-05
17,0.015271580332923317,0.9968430357368354,0.18118390547801774,0.9551792828685259,0.9530600447860873,9.303710135019722e-05
18,0.007022667675357759,0.9987372142947342,0.13388930896410267,0.9810756972111554,0.9818160339714197,9.22163962751008e-05
19,0.005438123376555962,0.9992423285768405,0.17094286991340346,0.9770916334661355,0.9764850416157895,9.135402871372814e-05
20,0.005205973303738748,0.9992423285768405,0.17030626013042477,0.9750996015936255,0.9742039796729387,9.045084971874742e-05
21,0.010031022062761071,0.9974744285894683,0.17814090065249943,0.9741035856573705,0.9755029439676981,8.950775061878456e-05
22,0.00789229429410099,0.9982321000126279,0.2273475418539358,0.9800796812749004,0.9800648716737521,8.852566213878951e-05
23,0.008020183506871822,0.9982321000126279,0.11271824174251248,0.9721115537848606,0.9714931986291937,8.750555348152303e-05
24,0.004211640673908174,0.9993686071473671,0.2230041148173493,0.9581673306772909,0.9537174657486144,8.644843137107063e-05
25,0.023582824801880085,0.9935597929031443,0.206798526167172,0.9412350597609562,0.9404614276764219,8.535533905932742e-05
26,0.013421703082552736,0.9973481500189418,0.14690473379263008,0.9790836653386454,0.9797455683280962,8.422735529643448e-05
27,0.004309638668675399,0.9993686071473671,0.1024656727969409,0.9780876494023905,0.9779402902753823,8.306559326618263e-05
28,0.004677190281303035,0.9987372142947342,0.26364464481941896,0.9551792828685259,0.9524894186686718,8.187119948743452e-05
29,0.0027404647234259595,0.9994948857178937,0.15025327844460368,0.9800796812749004,0.9802639390385277,8.064535268264887e-05
30,0.002216355369233524,0.9997474428589468,0.15421657044597276,0.9760956175298805,0.9755284584053057,7.938926261462371e-05
31,0.0010842527159593655,1.0,0.15348468406324875,0.9790836653386454,0.9789940141037577,7.810416889260659e-05
32,0.004780274175808352,0.9989897714357874,0.21849922224344961,0.9760956175298805,0.9750468800797589,7.679133974894988e-05
33,0.0017371452250376043,0.9997474428589468,0.18702733896643042,0.9741035856573705,0.9730804519506011,7.545207078751862e-05
34,0.0008508442838530501,1.0,0.1821699601958577,0.9741035856573705,0.9730804519506011,7.408768370508582e-05
35,0.00046509486998536407,1.0,0.1855836574775394,0.9780876494023905,0.9775536075303153,7.26995249869774e-05
36,0.0062713071635170075,0.9984846571536811,0.15508323729797024,0.9711155378486056,0.9690185555238366,7.12889645782537e-05
37,0.0056410181921900775,0.9984846571536811,0.20685709282673295,0.9741035856573705,0.9730411889752641,6.985739453173908e-05
38,0.019918006631010732,0.9941911857557773,0.15136755854114,0.9711155378486056,0.9721850524582397,6.840622763423397e-05
39,0.010147879212884903,0.9982321000126279,0.10460941175154718,0.9721115537848606,0.9731129622086682,6.693689601226464e-05
40,0.017880757016234813,0.9954539714610431,0.23312508181132657,0.9780876494023905,0.9790802906891674,6.545084971874744e-05
41,0.003480130124648461,0.9992423285768405,0.20329941898042642,0.9790836653386454,0.9795983926451843,6.394955530196154e-05
42,0.004537828282673867,0.9989897714357874,0.2309996743437897,0.9611553784860558,0.9631445837248727,6.24344943582428e-05
43,0.00136563115273136,0.9998737214294734,0.2223569881412167,0.9830677290836654,0.9842270309692281,6.0907162069827195e-05
44,0.0031002824060173267,0.9994948857178937,0.18334521038598747,0.9780876494023905,0.97897101333062,5.93690657292863e-05
45,0.0008691147972942042,0.9998737214294734,0.17692456290495037,0.9820717131474104,0.9833514116462612,5.7821723252011606e-05
46,0.003357000717613223,0.9992423285768405,0.19652212449777093,0.9790836653386454,0.9790858382641009,5.6266661678215284e-05
47,0.0025143698770038934,0.9996211642884203,0.1836508891258952,0.9711155378486056,0.9690319540419171,5.470541566592577e-05
48,0.0007469860618057399,1.0,0.12295425710033168,0.9800796812749004,0.9804459775913885,5.313952597646573e-05
