All in One
"Axis [nm],Ch1/Frame []"
"550,25.096622467041"
"555,3.39554595947266"
"560,2.93008804321289"
"565,4.53815841674805"
"570,13.6972045898438"
"575,21.8885154724121"
"580,23.7087898254395"
"585,23.9198913574219"
"590,18.1143417358398"
"595,16.3748474121094"
"600,16.9183197021484"
"605,13.9774971008301"
"610,9.79601669311523"
"615,8.94095611572266"
"620,9.3115234375"
"625,8.07859039306641"
"630,7.05250930786133"
"635,5.93881988525391"
"640,5.32697296142578"
"645,5.27452850341797"
"650,4.85854339599609"
"655,4.22027206420898"
"660,3.68040084838867"
"665,3.37964248657227"
"670,3.22221755981445"
"675,3.1408576965332"
"680,2.94005966186523"
"685,2.74444198608398"
"690,2.60819625854492"
"695,2.48410797119141"
