epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,0.30955966991718287,0.8963252935976764,0.15330231485079485,0.9701195219123506,0.9700707662306737,9.997532801828658e-05
2,0.061937751288229745,0.9792903144336406,0.3163943579234925,0.9452191235059761,0.9436942726104576,9.990133642141359e-05
3,0.013230655632827496,0.996969314307362,0.12350500543672309,0.9721115537848606,0.9728320275607085,9.977809823015401e-05
4,0.02006640729240011,0.994570021467357,0.16548195469426918,0.9741035856573705,0.9755300034014576,9.960573506572391e-05
5,0.006946296042671317,0.9981058214421012,0.15201355333243352,0.9810756972111554,0.9817909615456669,9.93844170297569e-05
6,0.015928098703524945,0.9958328071726228,0.1438740497358529,0.9780876494023905,0.9784775700864505,9.911436253643445e-05
7,0.017620240373546116,0.9946963000378836,0.2729133268543686,0.9432270916334662,0.9435158617237962,9.879583809693738e-05
8,0.02623020487113393,0.9929284000505114,0.17102963029150944,0.9810756972111554,0.9820838584601267,9.842915805643157e-05
9,0.014015272283645058,0.9965904785957823,0.11771445125211549,0.9820717131474104,0.9829282786423839,9.801468428384717e-05
10,0.003141694259149174,0.9993686071473671,0.11717285435513196,0.9840637450199203,0.985103448275862,9.75528258147577e-05
11,0.0010447755787708125,0.9997474428589468,0.15170170954510706,0.9820717131474104,0.9828281823141471,9.70440384477113e-05
12,0.0006438005692131482,1.0,0.1435125360923515,0.9840637450199203,0.985103448275862,9.64888242944126e-05
13,0.000451940390674654,1.0,0.1634702846334609,0.9840637450199203,0.985103448275862,9.588773128419907e-05
14,0.01746205370417048,0.9948225786084102,0.14371124468071284,0.9820717131474104,0.9829619409980841,9.5241352623301e-05
15,0.006068158200846278,0.9978532643010481,0.18871596360589452,0.9790836653386454,0.9799390255835594,9.455032620941843e-05
16,0.007570285055128248,0.9981058214421012,0.17946403090691562,0.9840637450199203,0.985103448275862,9.381533400219321e-05
17,0.0017632900697445752,0.9996211642884203,0.16359036519719505,0.9820717131474104,0.9830053672524081,9.303710135019722e-05
18,0.00027287128313906834,1.0,0.17000078359445203,0.9820717131474104,0.9830053672524081,9.22163962751008e-05
19,0.0004139033543181899,0.9998737214294734,0.16583498635600516,0.9830677290836654,0.9840548447135428,9.135402871372814e-05
20,0.0001863891058909126,1.0,0.1647117167591654,0.9820717131474104,0.9830053672524081,9.045084971874742e-05
21,0.0001730477212003293,1.0,0.1653842189872697,0.9830677290836654,0.9840548447135428,8.950775061878456e-05
22,0.00010769590608714931,1.0,0.1824409611433376,0.9840637450199203,0.985103448275862,8.852566213878951e-05
23,0.00011015292114234278,1.0,0.17810652704826366,0.9830677290836654,0.9840548447135428,8.750555348152303e-05
24,0.00010024945775040344,1.0,0.18436658144948517,0.9840637450199203,0.985103448275862,8.644843137107063e-05
25,9.712668314802776e-05,1.0,0.18242305861529176,0.9840637450199203,0.985103448275862,8.535533905932742e-05
26,7.129118952239725e-05,1.0,0.18385525766120464,0.9840637450199203,0.985103448275862,8.422735529643448e-05
27,9.174252989910633e-05,1.0,0.1826409677348104,0.9840637450199203,0.985103448275862,8.306559326618263e-05
28,8.03563191136263e-05,1.0,0.2047690142435929,0.9840637450199203,0.985103448275862,8.187119948743452e-05
29,5.973574640128497e-05,1.0,0.20122491304144466,0.9840637450199203,0.985103448275862,8.064535268264887e-05
30,5.6958180477785785e-05,1.0,0.20211402270423465,0.9840637450199203,0.985103448275862,7.938926261462371e-05
31,4.0853244815855356e-05,1.0,0.20969996936766974,0.9840637450199203,0.985103448275862,7.810416889260659e-05
32,3.4298645687589255e-05,1.0,0.2045893200127727,0.9840637450199203,0.985103448275862,7.679133974894988e-05
