epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,0.31160048976275245,0.9104684934966536,0.14649213116571486,0.9830677290836654,0.9840155727797564,9.997532801828658e-05
2,0.0677471089186595,0.9821947215557519,0.13389266890091486,0.9721115537848606,0.97301721287562,9.990133642141359e-05
3,0.04167782707973206,0.987624700088395,0.19555902231678987,0.9820717131474104,0.9830053672524081,9.977809823015401e-05
4,0.027114693873493353,0.993938628614724,0.1447441003190732,0.9711155378486056,0.9692004196372904,9.960573506572391e-05
5,0.026405310166771778,0.9933072357620911,0.1510640305607947,0.9810756972111554,0.9815011211487865,9.93844170297569e-05
6,0.011395623445254953,0.9978532643010481,0.17470458945546083,0.9750996015936255,0.9740541898554176,9.911436253643445e-05
7,0.012848932359133338,0.9970955928778886,0.16827378519977707,0.9810756972111554,0.9816525415375746,9.879583809693738e-05
8,0.009378886924759505,0.9979795428715746,0.18486056551046204,0.9800796812749004,0.9800648716737521,9.842915805643157e-05
9,0.018782546647548796,0.9949488571789368,0.20975267566439967,0.9770916334661355,0.9778276231322778,9.801468428384717e-05
10,0.013052819867107148,0.9972218714484152,0.022869169237593048,0.9940239043824701,0.9936787959393794,9.75528258147577e-05
11,0.010604833530146036,0.9972218714484152,0.23952436364029508,0.9611553784860558,0.9586671717304285,9.70440384477113e-05
12,0.009493931840493906,0.9974744285894683,0.17321505263977718,0.9651394422310757,0.9635668206762805,9.64888242944126e-05
13,0.0027985809458374285,0.9998737214294734,0.15943069560123704,0.9681274900398407,0.9654967997364329,9.588773128419907e-05
14,0.0030056219359670244,0.9996211642884203,0.12398352803456257,0.9691235059760956,0.9665145717128676,9.5241352623301e-05
15,0.0022693908577871924,0.9998737214294734,0.21089681246848344,0.9701195219123506,0.967547901428415,9.455032620941843e-05
16,0.004437006428538586,0.9988634928652608,0.2452438192299613,0.9701195219123506,0.9689575476233813,9.381533400219321e-05
17,0.005469493678375685,0.9984846571536811,0.11791082207442574,0.9790836653386454,0.9799635533341622,9.303710135019722e-05
18,0.009424441768893059,0.9977269857305215,0.09516397498522695,0.9711155378486056,0.9690377921527276,9.22163962751008e-05
19,0.004817944597522854,0.9988634928652608,0.08858409728038596,0.9671314741035857,0.9680817401723953,9.135402871372814e-05
20,0.007780676205917837,0.9976007071599949,0.26266497777335707,0.9581673306772909,0.9554295009045793,9.045084971874742e-05
21,0.012645085349872808,0.9963379214547291,0.30560773694368293,0.9581673306772909,0.9554163806743986,8.950775061878456e-05
22,0.0038460907361702493,0.9988634928652608,0.15090045867204518,0.9701195219123506,0.970177425323844,8.852566213878951e-05
23,0.005728099409114249,0.9984846571536811,0.3112267315150547,0.9661354581673307,0.9638561227871133,8.750555348152303e-05
24,0.0009679575733744793,1.0,0.24080589259288768,0.9691235059760956,0.9667729835363819,8.644843137107063e-05
25,0.0004567353016350403,1.0,0.2875101996133124,0.9691235059760956,0.9665338083417584,8.535533905932742e-05
26,0.0005938425135194933,1.0,0.24540736820116912,0.9701195219123506,0.9677855112491098,8.422735529643448e-05
27,0.002244547011349776,0.9994948857178937,0.13529073230287272,0.9760956175298805,0.9756110064135959,8.306559326618263e-05
28,0.00894207203865883,0.9976007071599949,0.26079300699003866,0.9651394422310757,0.9619464901355672,8.187119948743452e-05
29,0.004338312591887678,0.9986109357242076,0.2583838261931356,0.9701195219123506,0.967547901428415,8.064535268264887e-05
30,0.0007236375246783369,1.0,0.195792140476259,0.9681274900398407,0.9654140363478746,7.938926261462371e-05
31,0.0003279184443683979,1.0,0.23956612524282997,0.9701195219123506,0.9677855112491098,7.810416889260659e-05
32,0.002398677441241058,0.9993686071473671,0.09662114944591171,0.9681274900398407,0.9657774292537212,7.679133974894988e-05
33,0.0186455849221644,0.9936860714736709,0.12296489878711606,0.9750996015936255,0.9753919024682831,7.545207078751862e-05
34,0.0052594588367377345,0.9982321000126279,0.19716981955736332,0.9661354581673307,0.9628434654920189,7.408768370508582e-05
35,0.001130578613961163,0.9998737214294734,0.3195066133818593,0.9611553784860558,0.9573426549119587,7.26995249869774e-05
36,0.00043173960196177133,1.0,0.26678595148711115,0.9681274900398407,0.9650533229625788,7.12889645782537e-05
37,0.0002837608313121039,1.0,0.2554987078881286,0.9671314741035857,0.9646540858451844,6.985739453173908e-05
38,0.0002810845457334135,1.0,0.222613063822661,0.9681274900398407,0.9650533229625788,6.840622763423397e-05
39,0.0012899241614095374,0.9997474428589468,0.2208750787009281,0.9681274900398407,0.9650533229625788,6.693689601226464e-05
40,0.00046724348239623325,1.0,0.23162077693829572,0.9681274900398407,0.9650533229625788,6.545084971874744e-05
41,0.00042353666615088203,1.0,0.2910245753142278,0.9681274900398407,0.9650533229625788,6.394955530196154e-05
42,0.00020613146807705815,1.0,0.3025184290342452,0.9681274900398407,0.9650533229625788,6.24344943582428e-05
43,0.0034963406914014106,0.999116050006314,0.1868035826550352,0.9701195219123506,0.967547901428415,6.0907162069827195e-05
44,0.0005047675077649957,1.0,0.25235637689966967,0.9701195219123506,0.967547901428415,5.93690657292863e-05
45,0.0005363892662535433,0.9998737214294734,0.24109479678111845,0.9691235059760956,0.9665145717128676,5.7821723252011606e-05
46,0.001230282831057396,0.9997474428589468,0.23812537233665845,0.9701195219123506,0.967547901428415,5.6266661678215284e-05
47,0.00013628281757126388,1.0,0.24434305923394248,0.9691235059760956,0.966300381025517,5.470541566592577e-05
48,0.00011638492207299371,1.0,0.23238359302637449,0.9701195219123506,0.967547901428415,5.313952597646573e-05
49,0.0001113253239610744,1.0,0.26800574534444244,0.9701195219123506,0.967547901428415,5.1570537953906474e-05
50,0.00012544508397315226,1.0,0.24619064423667483,0.9701195219123506,0.9677855112491098,5.0000000000000057e-05
51,0.0010249014679654428,0.9996211642884203,0.28933102414901013,0.9701195219123506,0.967547901428415,4.842946204609364e-05
52,0.0005345649227917037,0.9998737214294734,0.21711682085971545,0.9671314741035857,0.9646638323767327,4.686047402353438e-05
53,0.0006965822396027514,0.9998737214294734,0.23012820598614417,0.9691235059760956,0.9665145717128676,4.529458433407433e-05
54,0.00035768308518077213,1.0,0.21679984620843162,0.9701195219123506,0.967547901428415,4.3733338321784836e-05
55,0.00045354466567409647,1.0,0.13093375684730468,0.9681274900398407,0.9650533229625788,4.21782767479885e-05
56,0.0005280587811443424,1.0,0.29772184996966594,0.9691235059760956,0.966300381025517,4.0630934270713814e-05
57,0.00011071347125478984,1.0,0.26131628186578704,0.9701195219123506,0.967547901428415,3.909283793017293e-05
58,0.00010485598830370363,1.0,0.20630866004175444,0.9701195219123506,0.967547901428415,3.75655056417573e-05
59,0.00011216124918000825,1.0,0.22992023208226725,0.9681274900398407,0.9652633724201912,3.605044469803859e-05
60,6.0166414242870765e-05,1.0,0.22525803857590662,0.9701195219123506,0.967547901428415,3.454915028125269e-05
61,6.379292669916172e-05,1.0,0.21695364756413416,0.9701195219123506,0.967547901428415,3.3063103987735474e-05
62,6.022854034737395e-05,1.0,0.2415663031230437,0.9701195219123506,0.967547901428415,3.159377236576616e-05
63,7.857341837347982e-05,1.0,0.217633359223248,0.9691235059760956,0.9667521815335622,3.0142605468261005e-05
64,7.591022959085025e-05,1.0,0.22018951605040624,0.9701195219123506,0.967547901428415,2.8711035421746404e-05
65,6.076121122498875e-05,1.0,0.22665964642844239,0.9701195219123506,0.967547901428415,2.73004750130227e-05
